Most common words,Absolute frequency,Relative frequency
perhaps,104.0,0.0011907351644702946
every,104.0,0.0011907351644702946
words,103.0,0.0011792857878888494
got,101.0,0.0011563870347259591
looking,100.0,0.001144937658144514
thornfield,100.0,0.001144937658144514
master,99.0,0.0011334882815630689
turned,98.0,0.0011220389049816238
lady,98.0,0.0011220389049816238
almost,98.0,0.0011220389049816238
sure,97.0,0.0011105895284001786
strange,97.0,0.0011105895284001786
eyre,97.0,0.0011105895284001786
light,97.0,0.0011105895284001786
rose,96.0,0.0010991401518187336
mary,96.0,0.0010991401518187336
dark,95.0,0.0010876907752372883
passed,94.0,0.0010762413986558433
woman,94.0,0.0010762413986558433
three,92.0,0.001053342645492953
evening,92.0,0.001053342645492953
get,92.0,0.001053342645492953
child,90.0,0.0010304438923300627
ingram,90.0,0.0010304438923300627
hear,88.0,0.0010075451391671722
want,87.0,0.0009960957625857272
school,87.0,0.0009960957625857272
always,87.0,0.0009960957625857272
feel,87.0,0.0009960957625857272
side,87.0,0.0009960957625857272
answer,86.0,0.000984646386004282
bed,86.0,0.000984646386004282
right,85.0,0.0009731970094228369
black,84.0,0.0009617476328413918
word,84.0,0.0009617476328413918
told,83.0,0.0009502982562599467
years,83.0,0.0009502982562599467
girl,83.0,0.0009502982562599467
cold,82.0,0.0009388488796785015
speak,82.0,0.0009388488796785015
full,82.0,0.0009388488796785015
young,81.0,0.0009273995030970564
name,81.0,0.0009273995030970564
home,80.0,0.0009159501265156113
called,80.0,0.0009159501265156113
gave,79.0,0.0009045007499341661
nature,79.0,0.0009045007499341661
whether,78.0,0.000893051373352721
world,78.0,0.000893051373352721
ladies,78.0,0.000893051373352721
since,77.0,0.0008816019967712758
window,77.0,0.0008816019967712758
done,76.0,0.0008701526201898307
thing,76.0,0.0008701526201898307
continued,76.0,0.0008701526201898307
mine,76.0,0.0008701526201898307
hands,76.0,0.0008701526201898307
find,76.0,0.0008701526201898307
diana,76.0,0.0008701526201898307
minutes,75.0,0.0008587032436083856
answered,75.0,0.0008587032436083856
seen,75.0,0.0008587032436083856
hope,75.0,0.0008587032436083856
wife,74.0,0.0008472538670269403
alone,73.0,0.0008358044904454952
low,73.0,0.0008358044904454952
white,72.0,0.0008243551138640501
least,72.0,0.0008243551138640501
keep,72.0,0.0008243551138640501
pleasure,72.0,0.0008243551138640501
wished,71.0,0.0008129057372826049
sort,71.0,0.0008129057372826049
going,71.0,0.0008129057372826049
sometimes,70.0,0.0008014563607011598
table,70.0,0.0008014563607011598
open,70.0,0.0008014563607011598
lay,69.0,0.0007900069841197146
brought,68.0,0.0007785576075382695
besides,68.0,0.0007785576075382695
certain,68.0,0.0007785576075382695
