Most common words,Jane Eyre relative frequency,Wuthering Heights relative frequency,Relative frequency difference
sort,0.0008129057372826049,0.00022067342172529838,0.0005922323155573066
might,0.0018204508764497773,0.0024090181871678404,0.0005885673107180632
ye,0.00024043690821034795,0.0008275253314698689,0.0005870884232595209
ever,0.0018319002530312225,0.0012504827231100241,0.0005814175299211984
moment,0.0012594314239589655,0.0006804097169863366,0.0005790217069726289
whole,0.000572468829072257,0.0011401460122473749,0.0005676771831751178
knew,0.0012823301771218557,0.0007171886206072197,0.000565141556514636
house,0.0020837865378230155,0.0026480810607035802,0.0005642945228805647
low,0.0008358044904454952,0.00027584177715662294,0.0005599627132888722
thus,0.0007556588543753792,0.00020228396991485683,0.0005533748844605224
tell,0.0016945077340538807,0.002243513120873867,0.0005490053868199862
found,0.0014311720726806426,0.0008826936869011935,0.0005484783857794491
devil,0.00012594314239589653,0.0006620202651758951,0.0005360771227799986
good,0.0026791541200581626,0.002151565861821659,0.0005275882582365036
minute,0.00022898753162890281,0.0007539675242281028,0.0005249799925992
else,0.0003434812974433542,0.000864304235090752,0.0005208229376473978
nature,0.0009045007499341661,0.00038617848801927217,0.000518322261914894
companion,0.00020608877846601251,0.0007171886206072197,0.0005110998421412071
muttered,8.014563607011598e-05,0.000588462457934129,0.000508316821864013
coming,0.0005266713227464765,0.0010298093013847258,0.0005031379786382493
told,0.0009502982562599467,0.0014527666930248808,0.0005024684367649342
dark,0.0010876907752372883,0.000588462457934129,0.0004992283173031593
worse,0.00024043690821034795,0.0007355780724176612,0.0004951411642073133
far,0.0013395770600290813,0.0008459147832803104,0.0004936622767487709
without,0.0016143620979837648,0.0011217565604369334,0.0004926055375468314
girl,0.0009502982562599467,0.00045973629526103825,0.0004905619609989084
nobody,0.0001717406487216771,0.0006620202651758951,0.0004902796164542179
given,0.0007213107246310438,0.0002390628735357399,0.0004822478510953039
mr,0.006217011483724711,0.005737508964857758,0.00047950251886695345
thrushcross,0.0,0.0004781257470714798,0.0004781257470714798
heart,0.0020036409017528995,0.001526324500266647,0.00047731640148625243
god,0.0012479820473775202,0.0007723569760385443,0.0004756250713389759
even,0.0013739251897734168,0.000901083138711635,0.0004728420510617819
maister,1.144937658144514e-05,0.0004781257470714798,0.00046667637049003466
set,0.0006755132183052633,0.0011401460122473749,0.0004646327939421116
settle,6.869625948867085e-05,0.0005332941025028044,0.0004645978430141336
yah,0.0,0.00045973629526103825,0.00045973629526103825
hurt,0.00014884189555878683,0.0006068519097445705,0.0004580100141857837
run,0.00020608877846601251,0.0006620202651758951,0.00045593148670988254
rose,0.0010991401518187336,0.0006436308133654536,0.00045550933845327993
remained,0.0001717406487216771,0.0006252413615550121,0.00045350071283333497
however,0.0007442094777939341,0.0011953143676786994,0.0004511048898847653
bad,0.0003778294271876896,0.0008275253314698689,0.00044969590428217926
time,0.002782198509291169,0.0023354603799260742,0.00044673812936509493
keep,0.0008243551138640501,0.0012688721749204656,0.0004445170610564155
kenneth,0.0,0.00044134684345059676,0.00044134684345059676
mrs,0.0028852428985241753,0.0024457970907887237,0.00043944580773545155
feeling,0.0007671082309568244,0.00033101013258794753,0.00043609809836887684
sometimes,0.0008014563607011598,0.0003677890362088306,0.00043366732449232916
whose,0.0007213107246310438,0.0002942312289670645,0.00042707949566397934
go,0.00285089476877984,0.0032733224222585926,0.00042242765347875284
instead,0.00020608877846601251,0.0006252413615550121,0.00041915258308899956
angry,8.014563607011598e-05,0.0004965151988819213,0.0004163695628118054
also,0.0003778294271876896,0.0007907464278489858,0.00041291700066129616
hate,0.0002862344145361285,0.0006987991687967782,0.00041256475426064963
observed,0.0003434812974433542,0.0007539675242281028,0.0004104862267847486
find,0.0008701526201898307,0.00045973629526103825,0.00041041632492879246
looking,0.001144937658144514,0.0007355780724176612,0.00040935958572685285
soon,0.0017517546169611065,0.0013424299821622318,0.0004093246347988747
may,0.0016258114745652098,0.0020228396991485683,0.00039702822458335843
servant,0.00041217755693202503,0.0008091358796594273,0.0003969583227274023
doctor,4.579750632578056e-05,0.00044134684345059676,0.0003955493371248162
think,0.0024730653415921504,0.002078008054579893,0.0003950572870122576
course,0.0007785576075382695,0.00038617848801927217,0.00039237911951899734
pale,0.0006297157119794827,0.0002390628735357399,0.00039065283844374283
hold,0.0003091331676990188,0.0006987991687967782,0.00038966600109775935
commenced,0.00012594314239589653,0.0005149046506923629,0.0003889615082964664
turned,0.0011220389049816238,0.0007355780724176612,0.0003864608325639626
take,0.0017288558637982162,0.002114786958200776,0.00038593109440255994
hardly,0.00042362693351347016,0.0008091358796594273,0.00038550894614595716
returned,0.0007556588543753792,0.0011401460122473749,0.0003844871578719956
perhaps,0.0011907351644702946,0.0008091358796594273,0.0003815992848108673
minutes,0.0008587032436083856,0.0004781257470714798,0.0003805774965369058
hour,0.001465520202424978,0.0010849776568160503,0.0003805425456089276
nay,0.00010304438923300626,0.0004781257470714798,0.00037508135783847357
bring,0.00025188628479179306,0.0006252413615550121,0.000373355076763219
large,0.0007556588543753792,0.00038617848801927217,0.00036948036635610707
compelled,0.0,0.0003677890362088306,0.0003677890362088306
crying,5.7246882907225704e-05,0.0004229573916401552,0.00036571050873292953
park,5.7246882907225704e-05,0.0004229573916401552,0.00036571050873292953
latter,5.7246882907225704e-05,0.0004229573916401552,0.00036571050873292953
know,0.0025875591074066015,0.002225123669063425,0.00036243543834317635
continued,0.0008701526201898307,0.0012320932712995825,0.0003619406511097518
interrupted,0.0001717406487216771,0.0005332941025028044,0.00036155345378112734
lips,0.0007098613480495987,0.0003493995843983891,0.0003604617636512096
fit,0.00022898753162890281,0.000588462457934129,0.00035947492630522613
fingers,0.00022898753162890281,0.000588462457934129,0.00035947492630522613
speech,4.579750632578056e-05,0.00040456793982971366,0.0003587704335039331
took,0.0014082733195177524,0.001765387373802387,0.0003571140542846347
hand,0.0020837865378230155,0.001728608470181504,0.0003551780676415116
wicked,0.00016029127214023197,0.0005149046506923629,0.00035461337855213093
words,0.0011792857878888494,0.0008275253314698689,0.0003517604564189805
wife,0.0008472538670269403,0.0004965151988819213,0.000350738668145019
door,0.0020952359144044605,0.0024457970907887237,0.0003505611763842632
lie,0.00018319002530312224,0.0005332941025028044,0.0003501040771996822
lockwood,0.0,0.0003493995843983891,0.0003493995843983891
directly,0.00014884189555878683,0.0004965151988819213,0.0003476733033231345
white,0.0008243551138640501,0.0004781257470714798,0.00034622936679257026
bear,0.0004465256866763605,0.0007907464278489858,0.0003442207411726253
countenance,0.00035493067402479934,0.0006987991687967782,0.0003438684947719788
th,8.014563607011598e-05,0.0004229573916401552,0.0003428117555700392
best,0.0007098613480495987,0.0003677890362088306,0.00034207231184076807
next,0.0005610194524908119,0.000901083138711635,0.00034006368622082304
sorry,0.00016029127214023197,0.0004965151988819213,0.0003362239267416894
full,0.0009388488796785015,0.0006068519097445705,0.000331996969933931
face,0.0021868309270560216,0.0018573346328545947,0.000329496294201427
gate,0.00014884189555878683,0.0004781257470714798,0.00032928385151269297
married,0.0006182663353980376,0.0002942312289670645,0.0003240351064309731
temper,0.00010304438923300626,0.0004229573916401552,0.00031991300240714893
besides,0.0007785576075382695,0.00045973629526103825,0.00031882131227723126
length,0.00016029127214023197,0.0004781257470714798,0.00031783447493124783
every,0.0011907351644702946,0.0015079350484562056,0.00031719988398591094
garden,0.0003663800506062445,0.0006804097169863366,0.0003140296663800921
left,0.001637260851146655,0.0013240405303517901,0.00031322032079486497
already,0.0005839182056537022,0.00027584177715662294,0.00030807642849707925
turning,0.00026333566137323825,0.0005700730061236874,0.0003067373447504492
law,0.0001717406487216771,0.0004781257470714798,0.0003063850983498027
former,0.0001717406487216771,0.0004781257470714798,0.0003063850983498027
taken,0.0007098613480495987,0.00040456793982971366,0.000305293408219885
cry,0.00022898753162890281,0.0005332941025028044,0.0003043065708739016
high,0.000652614465142373,0.0003493995843983891,0.00030321488074398393
tongue,0.00019463940188456738,0.0004965151988819213,0.00030187579699735397
guess,0.00010304438923300626,0.00040456793982971366,0.0003015235505967074
light,0.0011105895284001786,0.0008091358796594273,0.00030145364874075125
air,0.0006869625948867084,0.00038617848801927217,0.00030078410686743625
say,0.0022669765631261377,0.0019676713437172437,0.000299305219408894
hear,0.0010075451391671722,0.0013056510785413487,0.00029810593937417643
grew,0.0003091331676990188,0.0006068519097445705,0.0002977187420455517
show,0.0003091331676990188,0.0006068519097445705,0.0002977187420455517
feel,0.0009960957625857272,0.0006987991687967782,0.00029729659378894906
pony,3.4348129744335424e-05,0.00033101013258794753,0.0002966620028436121
got,0.0011563870347259591,0.0014527666930248808,0.0002963796582989217
almost,0.0011220389049816238,0.0008275253314698689,0.00029451357351175495
silence,0.0006984119714681536,0.00040456793982971366,0.0002938440316384399
making,0.00024043690821034795,0.0005332941025028044,0.00029285719429245646
un,5.7246882907225704e-05,0.0003493995843983891,0.0002921527014911634
called,0.0009159501265156113,0.0006252413615550121,0.0002907087649605992
moors,0.00011449376581445141,0.00040456793982971366,0.00029007417401526224
court,2.289875316289028e-05,0.00031262068077750604,0.00028972192761461576
another,0.0012937795537033008,0.0015814928556979716,0.0002877133019946708
alone,0.0008358044904454952,0.0011217565604369334,0.0002859520699914382
except,0.00022898753162890281,0.0005149046506923629,0.00028591711906346005
church,0.0005037725695835861,0.00022067342172529838,0.00028309914785828777
stay,0.0006182663353980376,0.000901083138711635,0.00028281680331359736
